o1,5771146.485,5503774.889,44.54730
o2,5771042.297,5503879.982,45.43825
o3,5770994.973,5503967.573,46.22973
o4,5770936.471,5504103.851,47.43156
o5,5770880.945,5504036.080,48.94647
o6,5770775.859,5503924.644,49.35303
o7,5770822.124,5504163.082,50.25103
o8,5770706.228,5504276.654,59.06273
o9,5770978.183,5504237.770,47.72026
o10,5770980.840,5504381.896,48.95276
o11,5771059.503,5504509.094,48.30408
o12,5771021.457,5504647.347,50.65256
o13,5771074.965,5504781.006,49.82760
o14,5771020.410,5504907.399,52.29044
o15,5771034.058,5505064.957,55.07171
o16,5771044.147,5505184.916,56.99004
o17,5771063.824,5505338.493,57.83026
o18,5771132.503,5505451.637,56.91717
o19,5771093.640,5505560.548,61.82253
o20,5771163.143,5505723.888,58.78177
o21,5771135.043,5505876.340,58.75280
o22,5771166.034,5505998.134,58.85503
o23,5770982.194,5506102.850,68.94619
o24,5771173.572,5506070.799,59.89376
o25,5771198.656,5506048.268,58.77307
o26,5771214.035,5506066.565,59.17871
o27,5771219.798,5506115.695,59.95286
o28,5771167.226,5506113.592,61.59949
o29,5771184.669,5506125.657,61.52453
o30,5771227.178,5506164.630,61.62403
o31,5771298.536,5506073.347,58.97373
o32,5771433.991,5506060.494,57.48963
o33,5771194.377,5506301.648,66.36971
o34,5771204.501,5506457.148,74.81372
o35,5771208.638,5506595.123,83.68953
o36,5771214.340,5506694.506,84.00987
o37,5771210.783,5506870.534,85.46496
o38,5771016.608,5506900.772,83.85363
o39,5771104.338,5506895.052,84.52517
o40,5771207.087,5506924.566,86.62841
o41,5771247.155,5506915.018,86.31204
o42,5771252.090,5506938.377,87.12616
o43,5771199.157,5506972.360,87.85093
o45,5771251.412,5506972.800,88.29584
o46,5771265.513,5506978.615,88.41328
o47,5771372.191,5507011.561,88.46567
o48,5771506.115,5507037.054,88.59311
o50,5771172.521,5507181.151,90.22943
o52,5771181.366,5507386.912,87.42542
o53,5771092.444,5507571.112,82.67969
o56,5771066.637,5507631.942,81.75487
o58,5771110.013,5507668.973,83.26981
o60,5771023.031,5507775.711,78.60624
o61,5771009.572,5507923.653,78.37926
o62,5770925.292,5508045.522,76.48232
o65,5770792.055,5508111.392,74.75631
o66,5770925.005,5508166.579,79.24507
o68,5770852.058,5508223.273,72.21433
o69,5770833.471,5508421.406,61.47572
o70,5770967.120,5508522.385,61.14128
o72,5770691.193,5508395.116,56.82150
o73,5770629.932,5508346.651,56.93697
o75,5770666.779,5508549.775,51.38916
o76a,5770765.153,5508584.552,53.33997
o77,5770648.322,5508679.549,49.56214
o83,5770532.677,5508983.962,47.36887
o87,5770439.896,5509020.189,49.91587
o88,5770471.173,5509071.302,52.14390
o89,5770430.368,5509035.059,51.40173
o90,5770367.046,5509168.145,57.61949
o91,5770231.813,5509237.258,57.57743
o92,5770033.020,5509366.290,65.37373
o93,5769946.894,5509426.954,76.24514
o94,5769813.489,5509478.789,83.46793
o95,5769741.505,5509590.907,83.61734
o96,5769684.877,5509540.863,83.19018
o96a,5769663.851,5509586.031,82.68551
o97,5769661.581,5509397.807,85.32046
o98,5769720.853,5509682.606,85.16828
o99,5769778.955,5509775.011,88.47494
o100,5769555.241,5509593.027,81.38436
o101,5769418.599,5509670.823,80.98166
o102,5769275.675,5509689.120,85.06519
o103,5769200.299,5509640.948,84.62693
o104,5769196.710,5509707.902,84.25890
o105a,5769108.088,5509768.906,86.36510
o106a,5769016.971,5509725.285,84.60171
o107,5768858.140,5509703.730,78.59071
o109,5768949.142,5509796.683,88.65397
o110,5768889.065,5509760.945,82.28829
o111,5768928.029,5509806.738,87.62269
o112,5768897.129,5509815.716,85.53460
o113,5768909.194,5509967.697,88.78159
o114,5768760.890,5509755.973,81.39354
o115,5768629.349,5509829.402,82.74584
o116,5768538.658,5509765.342,83.12037
o118,5768385.730,5509783.495,41.91064
o119,5768389.740,5509831.360,41.12256
o121,5768093.088,5509779.850,41.23999
o122,5768129.228,5509850.096,41.41551
o123,5768011.821,5509757.010,41.40706
o124,5767995.431,5509794.032,41.20565
